geneID,mRNA,mRNAinTriplets,TargetInteractionsofthemRNA
54910,SEMA4C,1,87
29766,TMOD3,1,178
55274,PHF10,1,98
1786,DNMT1,1,62
114801,TMEM200A,1,14
23654,PLXNB2,1,36
55603,TENT5A,1,93
2260,FGFR1,1,95
6309,SC5D,1,53
8445,DYRK2,1,182
6303,SAT1,1,21
5778,PTPN7,1,5
4247,MGAT2,1,17
29121,CLEC2D,1,64
23509,POFUT1,1,103
140453,MUC17,1,29
6838,SURF6,1,48
171023,ASXL1,1,72
4015,LOX,1,33
64764,CREB3L2,1,124
23266,ADGRL2,1,46
144321,GLIPR1L2,1,17
157922,CAMSAP1,1,55
2295,FOXF2,1,29
8553,BHLHE40,1,58
528,ATP6V1C1,1,75
3216,HOXB6,1,80
163227,ZNF100,1,66
160851,DGKH,1,81
5274,SERPINI1,1,7
80352,RNF39,1,10
8795,TNFRSF10B,1,177
163702,IFNLR1,1,152
23555,TSPAN15,1,15
153,ADRB1,1,61
254228,CALHM5,1,82
5034,P4HB,1,97
22877,MLXIP,1,168
4680,CEACAM6,1,15
170691,ADAMTS17,1,38
54897,CASZ1,1,51
22943,DKK1,1,30
5315,PKM,1,199
5037,PEBP1,1,52
1770,DNAH9,1,61
55586,MIOX,1,37
91775,NXPE3,1,42
2591,GALNT3,1,65
2254,FGF9,1,39
8546,AP3B1,1,51
7559,ZNF12,1,123
143872,ARHGAP42,1,26
92255,LMBRD2,1,30
9411,ARHGAP29,1,65
81671,VMP1,1,80
5763,PTMS,1,46
8739,HRK,1,82
81831,NETO2,1,80
2131,EXT1,1,63
11168,PSIP1,1,22
7490,WT1,1,56
79027,ZNF655,1,54
54206,ERRFI1,1,66
26092,TOR1AIP1,1,61
10758,TRAF3IP2,1,90
25953,PNKD,1,42
4857,NOVA1,1,17
23768,FLRT2,1,22
166929,SGMS2,1,51
23506,BICRAL,1,32
374879,ZNF699,1,72
85364,ZCCHC3,1,126
84293,PRXL2A,1,69
1408,CRY2,1,122
351,APP,1,128
23678,SGK3,1,56
2040,STOM,1,34
10133,OPTN,1,32
64766,S100PBP,1,60
3833,KIFC1,1,31
1291,COL6A1,1,34
3939,LDHA,1,83
7421,VDR,1,64
1979,EIF4EBP2,1,154
26020,LRP10,1,78
432,ASGR1,1,20
10788,IQGAP2,1,21
55790,CSGALNACT1,1,38
10123,ARL4C,1,98
59,ACTA2,1,22
80856,LNPK,1,120
81611,ANP32E,1,112
131450,CD200R1,1,38
8140,SLC7A5,1,286
6474,SHOX2,1,57
2300,FOXL1,1,35
390637,GDPGP1,1,50
57493,HEG1,1,73
5066,PAM,1,56
9751,SNPH,1,10
8038,ADAM12,1,43
23305,ACSL6,1,41
89796,NAV1,1,167
3213,HOXB3,1,88
54545,MTMR12,1,79
1955,MEGF9,1,35
56977,STOX2,1,64
6515,SLC2A3,1,88
84612,PARD6B,1,184
84765,ZNF577,1,3
4582,MUC1,1,9
64744,SMAP2,1,10
23271,CAMSAP2,1,118
382,ARF6,1,96
28962,OSTM1,1,114
51466,EVL,1,14
131544,CRYBG3,1,48
5080,PAX6,1,31
3455,IFNAR2,1,120
80824,DUSP16,1,53
8209,GATD3A,1,26
9388,LIPG,1,87
119,ADD2,1,54
5286,PIK3C2A,1,74
84530,SRRM4,1,46
168667,BMPER,1,8
92521,SPECC1,1,38
57412,AS3MT,1,60
3082,HGF,1,14
4232,MEST,1,20
55742,PARVA,1,31
5208,PFKFB2,1,52
84720,PIGO,1,97
624,BDKRB2,1,35
3014,H2AX,1,72
2239,GPC4,1,78
79834,PEAK1,1,93
23390,ZDHHC17,1,51
22924,MAPRE3,1,50
23528,ZNF281,1,166
654790,PCP4L1,1,41
55450,CAMK2N1,1,63
54205,CYCS,1,133
57451,TENM2,1,7
7903,ST8SIA4,1,22
4193,MDM2,1,353
2677,GGCX,1,139
4925,NUCB2,1,33
11080,DNAJB4,1,66
56853,CELF4,1,16
5798,PTPRN,1,11
3992,FADS1,1,93
10472,ZBTB18,1,218
5010,CLDN11,1,37
7431,VIM,1,73
650,BMP2,1,45
144501,KRT80,1,84
9520,NPEPPS,1,94
