miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,KICHMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount
hsa-mir-500a-5p,15,1,,,,,4,,,,,,,,,,,7,3,,,,
hsa-mir-3065-5p,10,,,,,,,,,,1,,,,,,3,,,3,,3,
hsa-mir-331-3p,72,10,7,,,,,,,,51,,,,,,,2,2,,,,
hsa-mir-519a-5p,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-324-5p,36,5,7,,,,,,,,,,2,,,,,5,17,,,,
hsa-mir-342-5p,12,5,2,,,,,,,,,,,,,,,2,2,1,,,
hsa-mir-372-3p,11,,,,,,,,,,,,,,,,,,,11,,,
hsa-mir-429,53,18,3,1,1,,5,,,,,,4,4,,,,,13,4,,,
hsa-mir-30b-5p,3,,,,3,,,,,,,,,,,,,,,,,,
hsa-mir-769-5p,4,,,,,,,,,,4,,,,,,,,,,,,
hsa-mir-32-5p,16,,,,,,,,,,14,,,,,,,2,,,,,
hsa-mir-380-3p,9,,,,,,,,,,9,,,,,,,,,,,,
hsa-mir-135a-5p,24,,,,,,,,,,,,,,2,,3,,,12,7,,
hsa-mir-134-5p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-223-3p,24,6,,,,,3,,,1,5,,,,,,,8,1,,,,
hsa-mir-335-5p,34,3,,,,,,,,,,,,,,,,3,26,2,,,
hsa-mir-516a-5p,2,2,,,,,,,,,,,,,,,,,,,,,
hsa-mir-376a-3p,43,,,,,,,,,,43,,,,,,,,,,,,
hsa-mir-145-5p,149,19,1,,,,,,,1,111,,1,,,,,8,8,,,,
hsa-mir-490-3p,6,,,,,,,,,,5,,,,,,,,,1,,,
hsa-mir-3199,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-188-3p,10,,1,,,,,,,,,,,,,,,8,,,1,,
hsa-mir-29b-2-5p,13,4,1,,,,,,,,7,,,,,,,1,,,,,
hsa-mir-3913-5p,19,3,,,,,,,,,,,,,,,,16,,,,,
hsa-mir-1292-5p,2,,,,,,,,,,1,,,,,,,,1,,,,
hsa-mir-23a-3p,3,,,,,,,,,,3,,,,,,,,,,,,
hsa-mir-1304-5p,3,,,,,,,,,,,,,,,,,,1,,,2,
hsa-mir-103a-2-5p,8,1,,,,,1,,,,6,,,,,,,,,,,,
hsa-mir-221-3p,40,3,,,,,,,,,30,,,,,,,3,,,,3,1
hsa-mir-651-5p,13,5,1,,,,,,,,5,,,1,,,,1,,,,,
hsa-mir-18b-5p,38,4,,,6,,,,,,,,,1,,,,,,20,,7,
hsa-mir-642a-5p,16,1,1,,,,,,,,9,,,,2,,,,,3,,,
hsa-mir-152-3p,24,,,,,1,,,,,,,,,,,,20,,3,,,
hsa-let-7e-5p,86,,,,,,,,,,76,,,,,,,8,,2,,,
hsa-mir-370-3p,70,,,,,,,,,,64,,1,,,,,2,3,,,,
hsa-mir-450b-5p,26,1,,,,,,,,,,,,,,,,16,,6,,3,
hsa-mir-548e-3p,3,,,,,,,,,,,,,,,,,,,,,3,
hsa-mir-93-5p,126,43,,,,,,,,,,,,,,,,,48,,,35,
hsa-mir-505-5p,13,6,6,,,,,,,,,,,,,,,1,,,,,
hsa-mir-155-5p,50,6,5,,,,3,,,,2,,,,,,,2,29,3,,,
hsa-mir-548d-3p,7,,,,,,,,,,,,,,,,,,,2,,5,
hsa-mir-301a-3p,81,16,11,,4,,9,,,,,1,11,1,,,,13,,14,,,1
hsa-mir-590-5p,17,,,,,,,,,,,,,,,,,1,16,,,,
hsa-mir-29b-1-5p,6,1,1,,,,,,,,,,,,,,,,4,,,,
hsa-mir-195-5p,17,6,,,,,,,,1,,,,,,,,1,1,5,,3,
hsa-mir-541-3p,5,,,,,,,,,,2,,,,,3,,,,,,,
hsa-mir-302d-3p,47,,,,,,,,,,,,,,,,,,,47,,,
hsa-mir-125b-2-3p,5,2,,,,,,,,,,,,,,,,2,,1,,,
hsa-mir-182-5p,106,24,,,,,8,,,1,2,,,1,,,1,33,19,14,2,,1
hsa-mir-135b-5p,58,4,4,,2,,9,,,,11,,2,,,,,,15,9,,2,
hsa-mir-142-3p,54,1,8,,,,1,,,1,,,,,,,,7,23,3,,10,
hsa-mir-520a-5p,2,,,,,,,,,,,,,,,,,,,1,,1,
hsa-mir-324-3p,12,5,,,,,,,,,,,,,,,,7,,,,,
hsa-mir-378a-5p,12,2,2,,,,,,,4,,,,,,,,,,4,,,
hsa-mir-431-5p,13,,,,,,,,,,,1,,,,,,,12,,,,
hsa-mir-625-3p,49,,,,3,,,,,,15,,,,,,,5,12,,,14,
hsa-mir-22-5p,22,,,,,,,,,,16,,,,,,,5,,,,,1
hsa-mir-365a-3p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-206,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-let-7f-2-3p,2,,,,2,,,,,,,,,,,,,,,,,,
hsa-mir-518a-5p,9,,,,,,,,,,,,,,,,,,,7,,2,
hsa-mir-499a-5p,10,,,,,,,,,,10,,,,,,,,,,,,
hsa-mir-486-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-374b-3p,1,,,,,,,,,,,,,,,,,,1,,,,
hsa-mir-548j-5p,6,,,,,,,,,,,,,,,,,,,2,,4,
hsa-mir-618,1,1,,,,,,,,,,,,,,,,,,,,,
hsa-mir-3622a-3p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-628-5p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-526b-5p,7,,,,,,,,,,,,,,,,,,,7,,,
hsa-mir-199b-3p,5,3,,,,,,,,,1,,,,,1,,,,,,,
hsa-mir-654-5p,2,,,,,,1,,,,,,,,,1,,,,,,,
hsa-mir-502-5p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-520f-3p,11,,,,,,,,,,,,,,,,,,,11,,,
hsa-mir-937-3p,11,,,,,,,,,,10,,,,,,,,1,,,,
hsa-mir-302c-5p,2,,,,,,,,,,,,,,,,,,,2,,,
hsa-mir-758-3p,5,,,,,,,,,,5,,,,,,,,,,,,
hsa-mir-23a-5p,1,,1,,,,,,,,,,,,,,,,,,,,
hsa-mir-522-3p,1,,,,,,,,,,,,,,,,,,,,,1,
hsa-mir-665,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-942-5p,39,1,1,,1,,,,,3,5,,,,,,,2,16,3,,7,
hsa-mir-887-3p,6,,,,,,,,,,,,,,,,,,,6,,,
hsa-mir-500b-5p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-376c-3p,3,,,,,,,,,,2,,,,,,,1,,,,,
hsa-mir-96-5p,92,12,5,,1,,8,,,,9,1,2,1,,,1,,23,19,6,1,3
hsa-mir-92a-3p,7,,,,,,,,,,,,,,,,,7,,,,,
hsa-mir-345-5p,8,2,,,2,,,,,,2,,,,,,,,2,,,,
hsa-mir-675-3p,14,,,,,,,,,,1,1,,,,,,12,,,,,
hsa-mir-411-5p,1,,1,,,,,,,,,,,,,,,,,,,,
hsa-mir-939-5p,8,3,1,,,,,,,,1,,,,,,,,3,,,,
hsa-mir-3127-5p,1,,,,,,,,,,,,,,,,,,1,,,,
hsa-mir-616-3p,1,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-214-5p,1,,,,,,,,,,,,,,,,,,,,,1,
hsa-mir-99a-5p,1,1,,,,,,,,,,,,,,,,,,,,,
hsa-mir-99b-5p,2,,,,,,,,,,2,,,,,,,,,,,,
hsa-mir-497-5p,13,8,,,,,,,,1,,,,,,,,,,4,,,
hsa-mir-615-3p,4,,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-374a-5p,4,,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-485-3p,4,,,,,,,,,,4,,,,,,,,,,,,
hsa-mir-542-3p,3,,,,,,,,,1,,,,,,,,1,,1,,,
hsa-mir-628-3p,4,4,,,,,,,,,,,,,,,,,,,,,
hsa-mir-15b-3p,1,,,,,,,,,,,,,,,,,,1,,,,
hsa-mir-1291,1,,,,1,,,,,,,,,,,,,,,,,,
hsa-mir-671-3p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-940,121,18,,,2,,,,,,75,,,,,,,10,9,3,,2,2
hsa-mir-483-5p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-873-5p,7,,,,,,,,,,,,,,,,,,,7,,,
hsa-mir-653-5p,2,,,,,,,,,,1,,,,,,,1,,,,,
hsa-mir-518b,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-656-3p,2,1,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-624-5p,4,,,,,,,,,,,,,,,,,,4,,,,
hsa-mir-27b-5p,1,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-508-3p,14,,,,,,,,,,13,,,,,,,1,,,,,
hsa-mir-518f-5p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-520d-5p,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-517-5p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-548b-3p,3,,2,,,,,,,,1,,,,,,,,,,,,
hsa-mir-493-5p,3,,,,,,,,,,1,,,,,,,,,2,,,
hsa-mir-548o-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-382-5p,5,,,,,,,,,,,3,,,,,,,,2,,,
hsa-mir-944,6,6,,,,,,,,,,,,,,,,,,,,,
hsa-mir-584-5p,4,1,,,,,,,,,3,,,,,,,,,,,,
hsa-mir-1910-5p,1,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-518c-5p,3,,,,,,,,,,,,,,,,,,,2,,1,
hsa-mir-26a-2-3p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-885-3p,4,,,,,,,,,,4,,,,,,,,,,,,
hsa-mir-3170,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-573,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-194-3p,2,,,,,,,,,,,,,,,,,,1,1,,,
hsa-mir-7-2-3p,3,,,,,,,,,,2,,,,,,,,,,1,,
