miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,ACCMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount,DLBCMirnaCount,OVMirnaCount,SKCMMirnaCount,UVMMirnaCount
hsa-mir-383-5p,35,,,,,,,,,,30,,,,,,1,,,,,4,,,,,
hsa-mir-483-5p,13,,,,,,,,,,9,,,,,,,3,,1,,,,,,,
hsa-mir-512-5p,10,,,,,,,,,,,,,,,,,,,4,,6,,,,,
hsa-mir-10a-5p,41,21,,,,,5,,,,5,3,,,,,,5,,2,,,,,,,
hsa-mir-342-3p,47,11,10,,,,,,,,,1,,,,,,,25,,,,,,,,
hsa-mir-29a-3p,64,10,,,,,,,,,,,,,,,,28,,25,,,,,,1,
hsa-mir-330-5p,106,,,,,,,,,,93,,,,,,,12,,,,,,,,,1
hsa-mir-873-5p,17,,,,,,,,,,,,,,,,,,,17,,,,,,,
hsa-mir-653-5p,31,5,1,,,,,,,,5,1,,,,,2,6,5,5,,1,,,,,
hsa-mir-1228-3p,14,,,,,,,,,,14,,,,,,,,,,,,,,,,
hsa-mir-424-3p,5,,,,,,,,,,1,,,,,,,2,1,1,,,,,,,
hsa-mir-744-3p,95,7,10,,,,1,,,,57,,1,,,,,7,10,2,,,,,,,
hsa-mir-125b-1-3p,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-518b,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
hsa-mir-3609,6,,,,,,,,,,,,,,,,,,,6,,,,,,,
hsa-mir-766-3p,233,29,23,,,,,,,,106,2,,,,,,34,,27,,12,,,,,
hsa-mir-3614-5p,7,1,,,,,,,,,,,,,,,,,5,1,,,,,,,
hsa-mir-215-5p,34,5,3,,,,,,1,,6,,1,,,,,2,2,8,,6,,,,,
hsa-mir-708-5p,14,1,,,,,,,,,,,1,,,,,6,3,,2,,1,,,,
hsa-mir-379-3p,14,,,,,,,,,,12,,,,,,,,,,,2,,,,,
hsa-mir-181b-5p,79,8,,,,,,,,,,,,,,,,65,,,,6,,,,,
hsa-mir-219a-5p,30,2,,,,,,,,,7,,,,,,,8,4,9,,,,,,,
hsa-mir-200b-3p,133,18,,,,1,12,,,,10,,,3,,,1,23,46,16,,2,,,1,,
hsa-mir-20a-3p,110,11,33,,2,,3,,,,,1,1,,,,,18,41,,,,,,,,
hsa-mir-148b-5p,47,5,5,,,,,,,,4,,,,,,,2,31,,,,,,,,
hsa-mir-501-5p,57,6,3,,1,,,,,,,,,,,,,22,25,,,,,,,,
hsa-mir-511-5p,42,3,6,,,,1,,,,11,,,,,,,9,9,2,,,,,,1,
hsa-mir-3662,13,,,,,,,,,,,,,,,,,,,9,,4,,,,,
hsa-mir-196b-5p,94,19,15,,1,,3,,,,4,,,1,,,,16,24,7,,4,,,,,
hsa-mir-1226-3p,31,3,2,,,,1,,,,13,1,,1,,,,3,3,4,,,,,,,
hsa-mir-410-3p,157,3,4,,,,4,,,,129,5,1,,,,,5,,2,,4,,,,,
hsa-mir-138-1-3p,17,,,,,,,,,,17,,,,,,,,,,,,,,,,
hsa-mir-516b-5p,21,,,,,,,,,,,,,,,,,,,18,,3,,,,,
hsa-mir-518f-3p,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-1301-3p,68,5,15,,,,,,,,,,,,,,,10,38,,,,,,,,
hsa-mir-508-3p,20,,1,,,,,,,,17,,,,,,,1,,,,1,,,,,
hsa-mir-296-3p,16,,,,,,1,,,1,2,,,,,,,,,12,,,,,,,
hsa-mir-211-5p,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
hsa-mir-223-5p,30,2,5,,,,2,,,,7,,1,,,,,7,3,2,1,,,,,,
hsa-mir-1262,6,,,,,,,,,,2,,,,,,,1,,3,,,,,,,
hsa-mir-181a-5p,101,,,,,,,,,,,,,,,,,80,,,,21,,,,,
hsa-mir-532-5p,17,,,,,,,,,,,,,,,,,17,,,,,,,,,
hsa-mir-1266-5p,4,,,,,,,,,,,,,,,,,,4,,,,,,,,
hsa-mir-519d-3p,38,,,,,,,,,,,,,,,,,,,9,,29,,,,,
hsa-mir-151a-5p,6,,,,,,,,,,,,,,,,,,6,,,,,,,,
hsa-mir-367-3p,13,,,,,,,,,,,,,,,,,,,13,,,,,,,
hsa-mir-518f-5p,3,,,,,,,,,,,,,,,,,,,2,,1,,,,,
hsa-mir-1271-5p,34,3,23,,,,,,,,,,,,,,,1,4,1,,2,,,,,
hsa-mir-148a-5p,37,3,,,,,1,,,,12,,,,,,,7,13,,,,1,,,,
hsa-mir-146b-5p,32,,4,,,,,,,,13,,,,,,,5,6,,2,,,,,,2
hsa-mir-378c,21,,1,,,,1,,,,15,,2,,,,,,,1,,,1,,,,
hsa-mir-1258,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-219a-2-3p,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
hsa-mir-514a-3p,9,1,,,,,,,,,3,,,,,,,1,1,1,,2,,,,,
hsa-mir-222-3p,87,8,16,,,,,,,,52,3,,,,,,5,,,,,3,,,,
hsa-mir-16-1-3p,28,,,,3,,,,,,,,,,,,,13,,,,12,,,,,
hsa-mir-31-3p,14,,3,,,,1,,,,,,,,,,,,4,,1,5,,,,,
hsa-mir-877-5p,60,8,6,,1,,2,,,1,23,2,2,,1,,,8,6,,,,,,,,
hsa-mir-100-5p,11,2,,,,,,,,,7,,,,,,,,,2,,,,,,,
hsa-mir-150-3p,13,,5,,,,,,,,,,,,,,,,2,6,,,,,,,
hsa-mir-512-3p,6,,,,,,,,,,,,,,,,,,,1,,5,,,,,
hsa-mir-224-3p,15,4,2,,,,3,,,,,,,,,,,3,2,,,1,,,,,
hsa-mir-338-5p,63,2,2,,1,,,,,,37,1,,1,,,2,6,6,,5,,,,,,
hsa-mir-3613-3p,13,4,,,,,,,,,3,,,,,,,5,,,,,1,,,,
hsa-mir-190a-5p,5,,,,,,,,,,,,,,,,,3,2,,,,,,,,
hsa-mir-449a,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-34a-3p,24,3,,,3,,,,,,,,1,,,,,,10,7,,,,,,,
hsa-mir-154-3p,21,,1,,,,,,,,15,,,,,,,5,,,,,,,,,
hsa-mir-139-5p,18,,2,,,,,,,,10,,,,,,,3,,1,2,,,,,,
hsa-mir-411-3p,47,2,,,,,1,,,,42,,,,,,,,,,,2,,,,,
hsa-mir-22-3p,46,,,,,,,,,,,,,,,,,45,,,,,,,1,,
hsa-mir-214-3p,89,15,2,,,,2,,,,,1,1,,,,,40,14,7,6,,,,,1,
hsa-mir-505-3p,77,,15,,,,,,,,,,,,,,,15,47,,,,,,,,
hsa-mir-320d,34,2,3,,,,2,,,,4,,1,,,,,,9,9,1,2,1,,,,
hsa-mir-520d-5p,8,,,,,,,,,,,,,,,,,,,8,,,,,,,
hsa-mir-142-5p,113,5,6,,,,5,1,2,2,24,4,,,,2,,14,31,11,1,5,,,,,
hsa-mir-183-3p,18,8,1,,,,,,,,,,1,,,,,,,5,,3,,,,,
hsa-mir-503-5p,120,9,15,,1,,2,,,,5,,2,,,,2,34,41,4,5,,,,,,
hsa-mir-548b-3p,15,,4,,,,,,,,1,2,,,,,,,3,2,1,2,,,,,
hsa-mir-328-3p,23,3,10,,,,,,,,,,2,,,,,8,,,,,,,,,
hsa-mir-186-5p,50,,,,,,,,,,,,,,,,,50,,,,,,,,,
hsa-mir-200b-5p,14,5,,,,,,,,,,1,,,,,,,7,,1,,,,,,
hsa-mir-212-3p,133,4,5,,,,1,,,,90,,,,,,,29,,,1,3,,,,,
hsa-mir-221-5p,76,4,1,1,1,,2,,,,,,1,,,,3,14,47,,2,,,,,,
hsa-mir-136-3p,39,,1,,,,,,,,31,,1,,,,,6,,,,,,,,,
hsa-mir-380-5p,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
hsa-mir-32-3p,31,13,,,,,,,,,8,1,,1,,,,,8,,,,,,,,
hsa-mir-501-3p,31,5,3,,,1,,,,,,,,,,,,12,10,,,,,,,,
hsa-mir-3117-3p,9,,,,,,,,,,8,,1,,,,,,,,,,,,,,
hsa-mir-151a-3p,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-4326,21,2,3,,,,,,,,1,,,,,,1,2,7,2,,3,,,,,
hsa-mir-1298-5p,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
hsa-mir-30b-3p,31,3,14,,,,,,,,,,,,,,,8,6,,,,,,,,
hsa-mir-500a-3p,22,,,,,,,,,,,,,,,,,11,11,,,,,,,,
hsa-mir-25-5p,9,,,,,,,,,,,,,,,,,,,8,,,,,1,,
hsa-mir-130a-5p,18,7,,,,,1,,,,,,,,,,,1,,,3,6,,,,,
hsa-mir-1180-3p,17,3,1,,2,,,,,,,,,,,,,1,10,,,,,,,,
hsa-mir-33a-3p,101,11,7,,3,,,,,1,50,,,1,,,2,3,9,5,,9,,,,,
hsa-mir-3065-3p,88,7,3,,,,1,,,,11,,1,,1,1,,29,13,13,2,6,,,,,
hsa-mir-101-5p,69,,3,,,,1,,,,55,,,,,,,,,,,10,,,,,
hsa-mir-219a-1-3p,62,9,,,,,,,,,9,,,,,,,25,12,6,,,1,,,,
hsa-mir-3200-3p,21,3,,,,,,,,1,14,,1,,,,,2,,,,,,,,,
hsa-mir-3928-3p,24,2,7,,,1,,,,,,,,,,,,10,4,,,,,,,,
hsa-mir-10b-5p,27,9,3,,,,,,,,8,,,,,,,7,,,,,,,,,
hsa-mir-144-3p,46,,,,,,,,,2,10,,,,,,,2,28,3,,1,,,,,
hsa-mir-590-3p,46,,23,,,,,,,,,,,,,,,23,,,,,,,,,
hsa-mir-373-5p,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
hsa-mir-378a-3p,92,9,4,,,,4,,,1,46,1,,,,,,6,5,15,,,1,,,,
hsa-mir-193a-3p,16,5,,,,,,,,,8,,,,,,,2,,,,,1,,,,
hsa-mir-320c,22,4,,,,,,,,,,,,,,,,1,16,1,,,,,,,
hsa-mir-519b-3p,6,,,,,,,,,,,,,,,,,,,6,,,,,,,
hsa-mir-20a-5p,198,58,4,,,,7,,,,,1,2,3,,,,20,80,,,19,3,,1,,
hsa-mir-493-5p,12,1,,,,,,,,,8,1,,,,,,,,1,,1,,,,,
hsa-mir-339-3p,5,,,,,,,,,,,,,,,,,5,,,,,,,,,
hsa-mir-19b-3p,135,,34,,,,7,,,,,3,,1,,,,31,59,,,,,,,,
hsa-mir-760,69,4,,,,,,,,,42,,1,,,,,,1,18,,3,,,,,
hsa-mir-548o-3p,12,,,,,,,,,,,,,,,,,,9,2,1,,,,,,
hsa-mir-148a-3p,221,5,20,,,,1,,,,7,,,,,,,85,92,,11,,,,,,
hsa-mir-382-5p,27,,,,,,,,,,16,1,,,,,,9,,,1,,,,,,
hsa-mir-1976,39,,,,,,,,,,29,,,,,,,10,,,,,,,,,
hsa-mir-493-3p,13,,,,,,2,,,,3,1,,,,,,2,,4,1,,,,,,
hsa-mir-3065-5p,37,4,2,,,,2,,,,2,,3,,1,,3,,1,6,1,12,,,,,
hsa-mir-362-3p,161,15,,,,,,,1,,14,,2,,,,7,38,84,,,,,,,,
hsa-mir-143-3p,66,6,,,,,,,,1,36,,2,,,1,,6,14,,,,,,,,
hsa-mir-500a-5p,67,12,6,,,,4,,,,,,7,,,,,16,16,6,,,,,,,
hsa-mir-3613-5p,38,,,,,,,,,,,,,,,,,10,20,,,8,,,,,
hsa-mir-331-3p,169,17,31,,,,,,,,77,,,1,,,,14,29,,,,,,,,
hsa-mir-519a-5p,13,1,,,,,,,,,8,,,,,,,,,3,,1,,,,,
hsa-mir-342-5p,70,12,10,,,,,,,,,,,,,,,9,21,18,,,,,,,
hsa-mir-324-5p,109,23,40,,,,,,,,,,5,,,,,10,31,,,,,,,,
hsa-mir-1910-5p,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-372-3p,13,,,,,,,,,,,,,,,,,,,11,,2,,,,,
hsa-mir-429,96,18,14,,3,,5,,,,,2,2,2,1,,,,24,14,,11,,,,,
hsa-mir-30b-5p,11,,,,4,,,,,,,,7,,,,,,,,,,,,,,
hsa-mir-769-5p,39,,,,,,,,,,39,,,,,,,,,,,,,,,,
hsa-mir-135a-5p,35,,,,,,,,,2,,,,,1,,1,,,28,2,1,,,,,
hsa-mir-32-5p,84,,,,,,,,,,47,,,,,,,37,,,,,,,,,
hsa-mir-380-3p,11,,,,,,,,,,11,,,,,,,,,,,,,,,,
hsa-mir-134-5p,62,2,,,,,,,,,50,,,,,,,3,1,2,,3,1,,,,
hsa-mir-223-3p,48,2,3,,,,2,,,,3,,,,1,,,27,9,,1,,,,,,
hsa-mir-335-5p,183,29,16,,,,3,,,1,,3,,,,,,28,77,26,,,,,,,
hsa-let-7f-5p,21,,,,,1,,,,,,,9,,,,,3,,,7,,,,1,,
hsa-mir-376a-3p,28,1,,,,,,,,,23,,,,3,,,,,1,,,,,,,
hsa-mir-516a-5p,6,2,,,,,,,,,,,,,,,,,,2,,2,,,,,
hsa-mir-3199,9,2,,,,,,,,,,,,,,,,1,,6,,,,,,,
hsa-mir-490-3p,16,2,,,,,,,,,5,,,,,,,,4,5,,,,,,,
hsa-mir-145-5p,250,17,9,2,,,,,,2,124,4,4,,,1,,37,46,,,4,,,,,
hsa-mir-188-3p,12,,1,,1,,,,,,3,,,,,,,4,2,,1,,,,,,
hsa-mir-518c-5p,7,,,,,,,,,,,,,,,,,,,2,,5,,,,,
hsa-mir-29b-2-5p,87,14,38,,,,,,,,27,,2,,,,,6,,,,,,,,,
hsa-mir-3913-5p,44,4,,,,,,,,,,,,,,,,40,,,,,,,,,
hsa-mir-1292-5p,5,,,,,,,,,,2,,,,,,,,3,,,,,,,,
hsa-mir-23a-3p,36,,,,,,,,,,36,,,,,,,,,,,,,,,,
hsa-mir-1304-5p,19,,,,,,,,,,,,,,,,,,11,5,,3,,,,,
hsa-mir-103a-2-5p,73,6,6,,,,2,,,,41,,,,,,,10,7,,1,,,,,,
hsa-mir-221-3p,109,8,,,,,,,,,71,,,,,,,11,,,10,6,2,,,,1
hsa-mir-18b-5p,27,3,,1,2,,,,,,,,,1,,,1,,,15,,4,,,,,
hsa-mir-642a-5p,60,9,16,1,,,,,,1,10,,1,,1,,,3,10,8,,,,,,,
hsa-mir-651-5p,48,4,3,,,,,,,,24,,,,,,,4,9,4,,,,,,,
hsa-mir-152-3p,51,,,1,,,,,,,21,,,,,,,22,,7,,,,,,,
hsa-mir-365a-5p,4,,3,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-let-7e-5p,140,,,,,,,,,,85,,,,,,,14,,41,,,,,,,
hsa-mir-370-3p,100,4,4,,,,1,,,,70,4,,,,,,9,5,2,1,,,,,,
hsa-mir-450b-5p,84,2,,,,,,,,,9,,,,,,1,47,,15,2,8,,,,,
hsa-mir-505-5p,44,3,12,,,,2,,,,,,2,,,,,12,13,,,,,,,,
hsa-mir-155-5p,221,10,20,,,,8,,1,2,19,3,2,,,,,21,106,20,5,,4,,,,
hsa-mir-93-5p,102,38,,,,,,,,,,,,,,,,,61,,,3,,,,,
hsa-mir-3170,7,,3,,,,,,,1,1,,,,,,,,,1,,1,,,,,
hsa-mir-885-3p,12,,,,,,,,,,12,,,,,,,,,,,,,,,,
hsa-mir-573,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
hsa-mir-590-5p,46,13,13,,,,,,,,,,,,,,,1,19,,,,,,,,
hsa-mir-29b-1-5p,44,7,5,,2,,1,,,,,,1,,,,2,8,18,,,,,,,,
hsa-mir-301a-3p,101,15,21,,1,,3,,,,,,11,2,,,,25,,23,,,,,,,
hsa-mir-195-5p,81,12,,,,,,,,,,,,,,2,,24,5,12,,26,,,,,
hsa-mir-541-3p,18,,,,,,,,,,12,,,,,,,,,6,,,,,,,
hsa-mir-216a-5p,5,,,,,,,,,,1,,,,,,,,1,3,,,,,,,
hsa-mir-302d-3p,19,,,,,,,,,,,,,,,,,,,19,,,,,,,
hsa-mir-125b-2-3p,84,9,7,,,1,,,,1,,1,,,,,,50,2,13,,,,,,,
hsa-mir-194-3p,22,2,,,,,,1,,,,,,,1,,,1,10,7,,,,,,,
hsa-mir-3922-3p,8,,,,,,,,,,,,,,,,,1,4,2,,1,,,,,
hsa-mir-182-5p,212,49,,,,1,5,,,1,9,1,,2,,,3,43,55,21,6,15,1,,,,
hsa-mir-135b-5p,88,10,4,,2,,5,,,1,8,,2,,1,,,,27,16,,11,1,,,,
hsa-mir-154-5p,4,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,
hsa-mir-7-2-3p,52,,,,,,,,,,52,,,,,,,,,,,,,,,,
hsa-mir-142-3p,151,9,25,,,,4,,2,1,14,3,,,,2,2,30,33,18,3,5,,,,,
hsa-mir-520a-5p,4,,,,,,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-324-3p,30,5,,,,,,,,,,,,,,,,25,,,,,,,,,
hsa-mir-378a-5p,85,9,3,,,,,,,3,59,1,,,,,,3,,7,,,,,,,
hsa-mir-431-5p,11,1,,,,,,,,,,,,,,,,,7,3,,,,,,,
hsa-mir-206,11,,,,,,3,,,,7,,,,,,,,,1,,,,,,,
hsa-mir-365a-3p,13,,,,,,,,,1,,,,,,,,12,,,,,,,,,
hsa-mir-22-5p,131,,,,,,,,,,80,,,,,,,51,,,,,,,,,
hsa-mir-625-3p,54,5,,,1,,,,,,10,,,,,,,11,21,,,5,1,,,,
hsa-let-7f-2-3p,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-518a-5p,8,,,,,,,,,,,,,,,,,,,3,,5,,,,,
hsa-mir-663a,6,,,,,,,,,,,,,,,,,,,6,,,,,,,
hsa-mir-509-3-5p,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1
hsa-mir-496,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-618,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-548s,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-3622a-3p,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-99b-3p,8,2,,,,,,,,,6,,,,,,,,,,,,,,,,
hsa-mir-3923,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-708-3p,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-643,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-522-3p,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-770-5p,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
hsa-mir-887-3p,4,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,
hsa-mir-542-5p,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,
hsa-mir-518e-3p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-525-5p,6,,,,,,,,,,,,,,,,,,,4,,2,,,,,
hsa-mir-877-3p,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-500b-5p,29,2,2,,,,2,,,,,,,,,,,4,7,12,,,,,,,
hsa-mir-99a-3p,6,,1,,,,,,,,,,,,,,,4,,,,1,,,,,
hsa-mir-23c,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,
hsa-mir-1197,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-3614-3p,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,
hsa-mir-551b-3p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-96-5p,133,22,12,1,3,,4,,,1,5,,3,1,1,,,,46,18,6,7,3,,,,
hsa-mir-539-5p,32,,6,,,,1,,,,9,1,,,,,,5,7,3,,,,,,,
hsa-mir-3130-5p,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,
hsa-mir-598-3p,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-767-3p,3,,,,,,,,,,2,,,,,,,,,1,,,,,,,
hsa-mir-891b,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-520h,15,,,,,,,,,,,,,,,,,,,3,,12,,,,,
hsa-mir-580-3p,6,,,,,,3,,,,,,,,,,,,,,,3,,,,,
hsa-mir-488-5p,7,,,,,,,,,,,,,,,,,,,7,,,,,,,
hsa-mir-99a-5p,19,1,1,,,,1,,,,1,,,,,1,,12,,1,,1,,,,,
hsa-mir-99b-5p,8,,,,,,,,,,8,,,,,,,,,,,,,,,,
hsa-mir-885-5p,12,,,,,,,,,,,1,,,,,,,,10,,1,,,,,
hsa-mir-652-3p,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-615-3p,24,,5,,2,,1,,,,,,,,,,1,5,6,4,,,,,,,
hsa-mir-26a-1-3p,4,,1,,,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-550a-5p,22,8,3,,,,,,,,2,,1,,,,,,8,,,,,,,,
hsa-mir-513c-5p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-767-5p,3,1,,,,,,,,,1,,,,,,,1,,,,,,,,,
hsa-mir-155-3p,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-545-5p,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
hsa-mir-671-3p,4,,,,,,,,,,,,,,,,,1,1,2,,,,,,,
hsa-mir-363-5p,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-30d-5p,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-892b,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-889-3p,38,,,,,,,,,,31,,,,,,,2,,2,2,1,,,,,
hsa-mir-506-3p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-656-3p,10,,,,,,,,,,7,,,,1,,,,,2,,,,,,,
hsa-mir-668-3p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-624-5p,6,,,,,,,,,,,,,,,,,,5,,,1,,,,,
hsa-mir-2113,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-660-5p,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
hsa-mir-27b-5p,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
hsa-mir-3942-5p,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,
hsa-mir-425-3p,5,,,,,,,,,,4,,,,,,,,1,,,,,,,,
hsa-mir-589-5p,5,,,,,,,,,,,,,,,,,5,,,,,,,,,
hsa-mir-664a-3p,2,,,,,,,,,,,2,,,,,,,,,,,,,,,
hsa-mir-95-3p,5,1,,,,,,,,,,,,,,,,,4,,,,,,,,
hsa-mir-3151-5p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-2114-5p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-508-5p,3,,,,,,,,,,,,,,,,,,,,2,1,,,,,
hsa-mir-1468-5p,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-3691-5p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-570-3p,7,3,,,2,,,,,,1,,,1,,,,,,,,,,,,,
hsa-mir-548t-5p,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
hsa-mir-891a-5p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-3934-5p,7,1,,,,,,,,,,,,1,,,,,5,,,,,,,,
hsa-mir-944,26,13,2,,,,,,,,,,,2,,,1,,,5,3,,,,,,
hsa-mir-584-5p,32,,,,,,,,,,18,,,,1,,,1,12,,,,,,,,
hsa-mir-96-3p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-632,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-340-3p,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-26a-2-3p,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
hsa-mir-664a-5p,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
hsa-mir-548e-3p,11,,,,,,,,,,,,,,,,,,5,5,,1,,,,,
hsa-mir-548d-3p,9,,,,,,,,,,,,,,,,,,,5,,4,,,,,
