Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,ACCTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount,DLBCTargetCount,OVTargetCount,SKCMTargetCount,UVMTargetCount
HNRNPLL,5,,,,,,,,,,,,,,,,,5,,,,,,,,,
CPT1A,4,,,,,,,,,,,,,,,,,,,4,,,,,,,
NOS2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
RBM38,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,
PRDM16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARID5B,56,10,6,,,,,,,,5,,4,,,,2,4,25,,,,,,,,
VEGFC,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
NCOR2,5,,2,,,,,,,,1,,,,,,,,2,,,,,,,,
MAP4K5,8,,2,,,,,,,,,,,,,,,1,5,,,,,,,,
PTPN9,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
SLC11A2,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,
TMPO,14,,,,,,,,,,9,,,,,,,1,,1,,3,,,,,
ACTR3,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,
NFAT5,21,10,,,,,,,,,,,,,,,,6,3,,2,,,,,,
PEX5L,5,,2,,,,,,,,,,,,,,,,3,,,,,,,,
PPP4R2,3,,,,,,,,,,1,,,,,,,,,2,,,,,,,
MED1,5,,,,,,,,,,,,,,,,,5,,,,,,,,,
TRIM21,9,,,,,,,,,,,,,,,,,9,,,,,,,,,
PPRC1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1
CASP7,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
TMEM127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
BIRC6,21,,1,,,,,,,,2,,,,,,,18,,,,,,,,,
DFFA,4,,,,,,,,,,1,,,,,,,,1,2,,,,,,,
MAD2L1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
APH1A,20,,,,,,,,,,1,,,,,,,,,,,19,,,,,
NGLY1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CRIM1,14,,,,,,,,,,,,,,,,,9,,4,1,,,,,,
SEC31A,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
TRIM33,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
KLK10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RNLS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SERINC5,9,2,,,,,,,,,,,,,,,,,7,,,,,,,,
B4GALT1,15,,1,,,,,,,1,11,,,,,,,,,,,2,,,,,
CNOT1,24,,1,,,,,,,,14,,,,,,,5,1,1,,1,,,,1,
DPYSL2,10,,,,,,1,,,,,,,,,,,,,3,1,5,,,,,
EPB41L2,6,,,,,,,,,,3,,,,,,,,3,,,,,,,,
CDK14,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
H4C14,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
TPM3,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
BAZ1B,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
FBXL5,4,,,,,,,,,,,,,,,,,2,2,,,,,,,,
DPYSL3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
ATF3,16,11,,,,,,,,,1,,,,,,,4,,,,,,,,,
CHGA,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
FOXO3,23,6,,,,,,,1,,6,,,,,,,1,8,,1,,,,,,
RASSF5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF263,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
SOCS1,5,,,,,,,,,,4,,,,,,,,,,,1,,,,,
TCF3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
AHR,7,2,1,,,,1,,,,,,,,,,,,,3,,,,,,,
FASN,13,2,1,,,,,,,,2,,,,,,,3,,4,,1,,,,,
NR4A1,4,2,,,,,,,,,,1,,,,,,1,,,,,,,,,
NCOA7,5,2,,,,,,,,,,,,,,,,3,,,,,,,,,
MYO1B,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
KTN1,12,,,,,,,,,,4,,,,,,,3,5,,,,,,,,
LEF1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
CYTIP,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
KCTD2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
MYLK3,5,,,,,,,,,,,,,,,,,,2,3,,,,,,,
ETV1,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
KIT,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
RERE,12,,1,,,,,,,,,,,,,,,5,5,,,,1,,,,
TGFB2,3,,1,,,,,,,,,,2,,,,,,,,,,,,,,
CDH2,4,,,,,,1,,,,3,,,,,,,,,,,,,,,,
BIRC2,4,,,,,,,,1,,3,,,,,,,,,,,,,,,,
MAD1L1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TP53INP1,8,,,,,,,,,,8,,,,,,,,,,,,,,,,
CAV2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
ECE1,3,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
CDCP1,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
SERTAD2,10,2,,,,,,,,,,,,,,,,,8,,,,,,,,
SLC7A11,3,2,,,,,,,,,,,,,,,,,,,1,,,,,,
KCTD20,20,19,,,,,,,,,,,,,,,,1,,,,,,,,,
LPL,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
RHOH,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,
CXCL2,13,,,,,,,,,,,,,,,,,10,,3,,,,,,,
MAN2A2,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,
TIMP1,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,
MKNK2,6,1,1,,,,,,,,1,,,,,,,1,,2,,,,,,,
IRF4,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,
TXNDC11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
GNL3,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,
TCF7L2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
PMAIP1,15,1,2,,,,,,,,,,1,,,,,3,3,1,,4,,,,,
TP53,7,2,,,,,,,,,2,,,,,,,1,1,1,,,,,,,
MITF,5,,1,,,,,,,,,,1,,,,,,,2,,1,,,,,
PRUNE2,3,,,,2,,,,,,1,,,,,,,,,,,,,,,,
TENM3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
COL14A1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
SEMA4B,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
TLR5,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
PTGS2,32,8,1,,,,,,,,,,1,3,,,2,8,6,1,,2,,,,,
UBE2D3,9,1,1,,,,,,,,5,,,,,,,1,,,1,,,,,,
PHACTR2,14,1,,,,,,,,,,,,,,,,6,7,,,,,,,,
CPSF2,7,2,,,,,,,,,1,,,,,,,4,,,,,,,,,
ACTC1,3,,2,,,,,,,,,,,,,,,,1,,,,,,,,
APPBP2,3,,1,,,,,,,,1,,,,,,,,1,,,,,,,,
MBD6,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
IFIT1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
TP73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
FBXW11,11,7,,,,,,,,,,,,,,,,2,1,,1,,,,,,
FOXP1,51,13,2,,1,,1,,,,3,1,,,,,2,14,1,10,,2,1,,,,
WNT2B,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,
AMOTL2,14,,2,,,,,,,,,,,,,,1,,2,2,,7,,,,,
BTK,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
CRAT,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
MSANTD3,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
CDYL,13,,,,,,,,,,,1,,,,,,1,11,,,,,,,,
BACE1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SH3BP5,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CUL3,12,4,,,,,,,,,1,,,,,,2,3,,,,2,,,,,
MDM2,16,,4,,,,,,,,1,,,,,,,1,6,2,1,1,,,,,
PIK3C3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
LRCH1,9,,1,,,,,,,,,,,,,,,1,6,1,,,,,,,
SEMA4D,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
GTF2I,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
MYD88,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
STK38L,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PTPN14,10,,,,,,,,,,,,,,,,,10,,,,,,,,,
MID1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
C3,4,,,,,,,,,,,,,,,,,,,4,,,,,,,
WAC,12,1,,,,,,,,,,,,,,,,1,9,,,1,,,,,
CCL22,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
DDX18,5,,,,,,,,,,2,,,,,,,,,3,,,,,,,
AGRN,5,,,,,,,,,,4,,,,1,,,,,,,,,,,,
CD86,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
MTSS1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
WWC1,11,,,,,,,,,,,,,,,,,,2,2,,7,,,,,
ZNF8,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
TRIM63,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
PRICKLE2,4,1,,,,,,,,,,,,,,,,3,,,,,,,,,
LRRK2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
ARID3A,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
PHF12,26,,,,,,,,,,1,,,,,,1,,24,,,,,,,,
OSBPL9,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
IL1B,6,,,,,,,,,,,,,,,,,,,5,,1,,,,,
ZBTB38,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
DNMT3A,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
MCL1,101,6,,,5,,,,,1,68,2,1,,1,,,1,7,1,,8,,,,,
NFIA,19,5,6,,1,,,,,,3,,,,,,,4,,,,,,,,,
RAB11FIP2,6,3,,,,,,,,,,,,,,,,,3,,,,,,,,
GLI3,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,
NR2F2,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,
ATOSA,3,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
NUP214,17,,,,,,,,,,3,,,,,,,14,,,,,,,,,
ASB1,4,,,,,,,,,,,,,,,,,,4,,,,,,,,
MCC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SLC8A1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,
SSBP2,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
RAPGEF6,4,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,
EPS15,4,,,,,,1,,,,,,,,,,,1,2,,,,,,,,
CAD,4,,,,,,,,,,1,,,,,,,3,,,,,,,,,
RFX3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
LITAF,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
FHL2,3,,,,,,,,,,,,,,,,,,,,,3,,,,,
HLA-E,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
ACACA,4,,3,,,,,,,,,,,,,,,,1,,,,,,,,
MAST4,2,,,,,,2,,,,,,,,,,,,,,,,,,,,
TP53BP1,9,,,,,,,,,,1,,1,,,,,,3,3,1,,,,,,
PRKAG2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
BNIP3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
EGR1,25,3,,,,,,,,,,,,,,,,,1,21,,,,,,,
ITGB1,123,19,3,,,,1,,,,74,,,,,,,11,,14,1,,,,,,
SORD,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
TIAM2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,
ARHGAP6,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
MAPKAP1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
NQO1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
IRF9,5,,,,,,,,,,,,,,,,,4,,,,1,,,,,
NUP98,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
PTGES,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
ADM,3,1,,,,,1,,,,,,,,,,1,,,,,,,,,,
CCDC88C,5,3,,,,,,,,,,,,,,,,1,,1,,,,,,,
UNKL,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
SH3BP2,2,,,,,,,,,,1,,,,,,,,,1,,,,,,,
TMPRSS2,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
DERL2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TAOK1,9,,,,,,,,,,7,,,,,,,1,1,,,,,,,,
GSN,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,
EHMT1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
HOXB4,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
ZNF559,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
SIK3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
MAN1A1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
PTX3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARID1B,18,2,,,,,,,,,1,,1,,1,,,,5,8,,,,,,,
SP1,15,,4,,,,,,,,5,,,,,,,2,,2,1,,1,,,,
HNRNPDL,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
NLGN4X,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
WDR82,5,,3,,,,,,,,1,,,,,,,,,1,,,,,,,
VMP1,4,,2,,,,,,,,1,,,,,,,1,,,,,,,,,
BTG1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
UBA52,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
KLF11,8,,,,,,,,,,,,,,,,,8,,,,,,,,,
FILIP1L,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
USP48,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SORT1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
SLC25A25,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PIP5K1B,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
CD40LG,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
RND3,5,,,,,,1,,,,4,,,,,,,,,,,,,,,,
POGK,5,,,,,,,,,,2,,,,,,,3,,,,,,,,,
PTPRM,8,,,,,,,,,,,,,,,,,8,,,,,,,,,
IFNAR2,5,,,,,,,,,,,,,,,,,,,,,5,,,,,
TBXA2R,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
CALR,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
DDX3X,14,,,,,,,,,,13,,,,,,,,,,,1,,,,,
CEP128,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PIK3R1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
IL1R1,4,,2,,,,,,,,,,,,,,,,,2,,,,,,,
IKZF1,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,
KIAA1217,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIN10,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
ACOX1,6,,,,,,,,,,1,,,,,,1,,2,2,,,,,,,
PCBP1,3,,,,,,,,,,1,,,,,,,,,2,,,,,,,
TAL1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
GRIA2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CHD9,73,32,11,,,,,,,,9,7,,,,2,,1,8,,,3,,,,,
FASLG,4,,1,1,,,,,,,,,,,,,,,2,,,,,,,,
ARF1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
HMGB1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
INSR,18,,,,,,,,,,17,,,,,,,1,,,,,,,,,
XRCC2,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
KHSRP,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,
RP1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
HERC2,11,,,,,,,,,,,,,,,,,,11,,,,,,,,
MECOM,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
NEDD4,20,,3,,,,,,,,14,,,,,,,2,,,1,,,,,,
SKIDA1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
TGFB3,2,,,,,1,,,,,,,,,,,,1,,,,,,,,,
ITGA11,7,,,,,,,,,,3,,,,,,,3,,1,,,,,,,
OSBPL8,10,,,,,,,,,,,,,,,,,2,,8,,,,,,,
VWF,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
CDKN1B,95,4,1,,,,,,,,5,,1,,,,1,3,76,,3,1,,,,,
MNT,16,1,4,,,,,,,,4,,2,,,,,,3,1,1,,,,,,
NFKB1,26,2,1,,,,,,,2,4,,,,,,,7,6,4,,,,,,,
SH3RF1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,
NOS3,5,,1,,,,,,,,,,,,,,,,3,,,1,,,,,
EPHA2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
MED16,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
C1orf21,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
NOTCH2NLA,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
CDK6,12,2,,,,,1,,,,4,,,,,,,2,,,,1,2,,,,
GSTP1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,
HIVEP2,13,8,,,1,,,,1,,,,,,,,,,1,1,1,,,,,,
TMEM47,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
KCTD15,6,,,,,,1,,,,4,,,,,,,1,,,,,,,,,
PAX6,7,,,,,,,,,,4,,,,,,,,3,,,,,,,,
KLF10,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CD47,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
PHLDB2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
SNRPB,7,1,,,,,,,,,6,,,,,,,,,,,,,,,,
HSP90B1,6,3,,,,,,,,,3,,,,,,,,,,,,,,,,
ATP2B4,5,,1,1,,,,,,,,,,,,,,3,,,,,,,,,
SPATA2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
LRIG1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
GATA3,14,,,,,,,,,,14,,,,,,,,,,,,,,,,
AURKA,7,,,,,,,,,,4,,,,,,,3,,,,,,,,,
PLK1,3,,,,,,,,,,,,,,,,,1,,1,,1,,,,,
SNAI2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CDC25A,7,1,,,,,,,,,4,,,,,,,,,2,,,,,,,
SIRT1,4,1,,,,,,,,,,,,,,,,,1,,1,1,,,,,
KCNK1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
FBLN2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
HNRNPD,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
AKAP8L,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ROR2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
PGR,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
PER2,8,,,,,,,,,,,,,,,,,,8,,,,,,,,
CYP8B1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
APC,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
PGK1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
TRIO,49,1,8,,,,,,,,6,,,,,,,24,9,1,,,,,,,
YAP1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
CTSV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
MAN2A1,4,,1,,,,,,,,,,,,,,,3,,,,,,,,,
ZNF217,29,,7,,,,,,,,16,,2,,,,,1,,,,3,,,,,
FEZ2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FRMD6,15,,1,,,,,,,,13,,,,,,,,1,,,,,,,,
KLF13,5,,,,1,,,,,,,,,,,,,1,2,,,1,,,,,
MNX1,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
NUCB2,5,,,,,,,,,,4,,,,,,,,,,,1,,,,,
UNG,6,,,,,,,,,,5,,,,,,,,,,,1,,,,,
STAG2,8,,,,,,,,,,2,,,,,,,2,4,,,,,,,,
TNS1,7,,,,,,,,,,,2,2,,,,,,,,,3,,,,,
INPP4A,3,,,,,,,,,,,,,,,,,3,,,,,,,,,
PLSCR1,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
FGD5,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
PMPCB,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
KLF6,14,2,2,,,,1,,,,7,,1,,,,,1,,,,,,,,,
FMR1,8,1,,,,,,,,,2,,,,,,,4,,,,1,,,,,
AKT1,4,,2,,,,,,,,1,,,,,,,1,,,,,,,,,
ANAPC7,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
PAICS,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
FLT1,15,3,9,,,,,,,,1,,1,,,,,1,,,,,,,,,
SERPINE1,14,1,3,,,,1,,,,2,,,,,,,2,4,1,,,,,,,
TFRC,22,2,6,,,,,,,,,,,,,,,,,,2,12,,,,,
YY1,20,2,1,,,,,,,,1,,1,,,,1,6,1,,,7,,,,,
ANKRD11,7,2,2,,,,,,,,,,,,,,,1,,1,,1,,,,,
ADAM10,44,,1,,,,,,,,41,,,,,,,,,,,2,,,,,
USP32,4,,3,,,,,,,,,,,,,,,,1,,,,,,,,
ACLY,9,,,,,,,,,,8,,,,,,,,1,,,,,,,,
EIF4EBP2,6,,,,,,,,,,1,,,,,,,3,,,1,,1,,,,
PDLIM5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
SUN1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
SESN1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
KIAA1522,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
TFAP4,5,,1,,,,,,,,,,,,,,,,,3,,1,,,,,
BCAR1,3,,1,,,,,,,,,,,,,,,1,1,,,,,,,,
OSBPL10,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FAAP20,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
MAP3K12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
NDUFAB1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
PTPRG,8,,6,,,,,,,,2,,,,,,,,,,,,,,,,
SHMT1,3,,1,,,,,,,,,,,,,,,,,2,,,,,,,
MSI2,11,,,,,,3,,,,4,,,,,,1,1,,1,1,,,,,,
EPB41,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
CDC6,6,2,,,,,,,,,,,,,,,,2,,1,,1,,,,,
PLAU,4,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,
NUP155,6,1,,,,,,,,,4,,,,,,,,1,,,,,,,,
OAZ1,3,,1,,,,,,,,,,,,,,,,,2,,,,,,,
TXNIP,21,,1,,,,,,,,,1,,,,,,14,,,,3,2,,,,
GPR183,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CTCF,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
GPBP1L1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
GJA1,3,1,,,,,,,,,,,,,,,1,,,,,1,,,,,
IER5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,
PRR5L,5,1,,,,,,,,,,,,,,,,,3,1,,,,,,,
ANXA11,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
KLF9,24,,2,,,,,,,,1,,,,,,,20,,,,1,,,,,
SRPRA,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
CDK1,100,,,,,,1,,,,99,,,,,,,,,,,,,,,,
MYOF,9,,,,,,1,,,,,,,,,,,8,,,,,,,,,
TENM4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ECT2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
ARHGAP5,10,3,1,,,,,,,,,,1,,,,,1,3,1,,,,,,,
PRIM2,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,
TMSB4X,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,
RNF111,5,3,1,,1,,,,,,,,,,,,,,,,,,,,,,
MYADM,4,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,
MT2A,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
SRSF1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
NPEPPS,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,
STAG1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TRAF1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
PARP1,122,5,1,,,,,,,1,114,,,1,,,,,,,,,,,,,
THRAP3,4,1,,,,,,,,,,,,,,,,1,,2,,,,,,,
ERC1,38,2,3,,1,,,,,,25,,,,,,,4,,2,,,,,1,,
GRAMD4,4,1,,,,,,,,,2,,,,,,,,,,,1,,,,,
ZFP91,13,1,,,,,,,,,10,,,,,,,,,2,,,,,,,
ADAR,9,,,1,,,,,,,,,1,,,,,7,,,,,,,,,
CDH1,15,,,,,,3,,,,,,,,,,,,12,,,,,,,,
USP34,15,,,,,,,,,,6,,,,,,,,9,,,,,,,,
TRPM7,4,,,,,,,,,,1,,1,,,,,,2,,,,,,,,
PRDM11,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
EXOC4,8,,,,,,,,,,8,,,,,,,,,,,,,,,,
PIK3CD,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
WDR59,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
MGRN1,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
NFATC1,3,2,,,,,,,,,,,,,,,,,1,,,,,,,,
S100A16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
KCNN3,8,,1,,,,,,,,4,,,,,,,3,,,,,,,,,
LIFR,20,,1,,,,,,,,2,,,,,,,,17,,,,,,,,
HK2,20,,,,,,1,,,,17,,,,,,,,,,,2,,,,,
YBX3,12,,,,,,,,,,1,,,,,,,,9,2,,,,,,,
PARN,3,,,,,,,,,,,1,,,,,,,,2,,,,,,,
CDKN1C,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
ASXL1,3,,,,,,,,,,,,,,,,,2,1,,,,,,,,
RPL26,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
RBM47,10,,,,,,,,,,,,,,,,,,,10,,,,,,,
CTSC,3,1,,,1,,,,,,,,,,,,,,,1,,,,,,,
MEF2C,9,1,1,,,,,,,,,,,,,,,3,3,1,,,,,,,
RB1CC1,8,,,,,,1,,,,,,,,,,,,7,,,,,,,,
PSEN1,5,,,,,,,,,,1,,,,,,,,,4,,,,,,,
USP45,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
RAB11B,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
FDPS,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,
ITPKB,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
PTAR1,28,3,,,,,,,,,8,,,,,,,13,4,,,,,,,,
PPP2CA,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
CD4,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,
SLC1A4,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
