"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72"
5241,"PGR","hsa-mir-766-3p","hsa-mir-320b",0.008,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11323389'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11668524'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11668524'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12038703'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12038703'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14769635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15579801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15632380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15718480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16360811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18219286'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18319313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18384825'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20869977'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21056906'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21695196'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24057181'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24114859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24197980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25228088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28264438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28264438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28415663'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29044863'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29137401'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29208958'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29885789'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30325501'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30448218'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31495455'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31495455'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31616183'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7880723'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7880723'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9816065'>PubMedLink</a>","tarbase","tarbase","hsa-mir-320b","hsa-mir-766-3p",5241,10.0127661479635,11.0659598658385,13.876710460296,13.3283368559285,12.6352156151998,"14.4926993588243","15.2162637986791","15.8504820720345","10.5618685367949","13.1686600492264","10.8392355674049","10.5002702456403","13.5520105658187","11.3755628644955","15.5525658256237","13.4715360424838","7.50701068581307","15.2129631382336","11.0878663282192","14.2496340574104","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5274,"SERPINI1","hsa-mir-185-5p","hsa-mir-200b-3p",0.001,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26416421'>PubMedLink</a>",NA,"tarbase","tarbase","hsa-mir-200b-3p","hsa-mir-185-5p",5274,16.3683507348827,17.9662778885498,14.3244468813566,14.4385281375978,17.7209498206867,"14.8772016884131","12.9004872575842","16.21456047588","16.5588338282181","16.9268637048719","17.9362202091915","14.5585608941839","15.1618066692213","16.3556690274181","16.164462722053","14.1599560126262","15.586164547075","16.2590736296861","18.5808689143603","15.7989902194166","15.6558441078777","15.5894332220266","16.0477564187992","14.7221631794963","15.5804604144198","14.2930660432168","15.8078259015538","15.1814173769259","16.6700304674723","16.186821115717","14.8892712204179","17.1169576926946","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5789,"PTPRD","hsa-mir-424-5p","hsa-mir-130a-3p",0.007,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29151939'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase","hsa-mir-130a-3p","hsa-mir-424-5p",5789,12.844613119195,15.2031452448153,10.7312981381376,15.6919607157856,13.7453136772714,"12.8423085116505","11.0750513046249","12.0748942711112","9.79561192128921","12.5331017124813","12.5755868381671","14.2449040760053","10.553597713965","13.8298714400998","14.8016800158938","12.3040803147984","13.2848238574543","15.2839965273392","13.7612166859589","15.1205385221802","12.157242458667","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5789,"PTPRD","hsa-mir-429","hsa-mir-130a-3p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/19501389'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/24802724'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/28587302'>PubMedLink</a>",NA,NA,"mirtarbase tarbase mirecords","tarbase mirecords","hsa-mir-130a-3p","hsa-mir-429",5789,12.470247749632,9.79998387139527,12.844613119195,13.2719054757587,10.4603682863669,"14.24460499052","11.2146285679088","13.8579112400688","13.4024926247639","13.3063170401044","14.9585882249705","15.6919607157856","12.8423085116505","11.0750513046249","14.228621679216","12.0748942711112","15.0760356891789","11.320408793458","13.3151597491733","9.92452437787621","13.9756753224264","12.2938703653052","14.8016800158938","14.3411543055647","12.3040803147984","13.4626101456514","15.1205385221802","14.0865945736942","15.1172449746459","15.637588702536","11.6494437746093","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6157,"RPL27A","hsa-mir-15a-5p","hsa-mir-485-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-485-5p","hsa-mir-15a-5p",6157,25.091889491283,20.9663850308516,21.84011836498,22.6622222132297,21.8535891001061,"23.0812247250029","22.6682680211706","23.192427190581","23.1251631205958","22.9915312711654","20.8975590309753","22.1124060730354","21.6735532065459","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6228,"RPS23","hsa-mir-182-5p","hsa-mir-1296-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-1296-5p","hsa-mir-182-5p",6228,21.4819032156742,21.9964999220597,21.9518152178938,22.4112778827031,22.0705247214251,"21.7779992449926","22.2632634006197","21.6106263291776","20.3639153602449","21.9835567470451","22.2905422651233","22.273709892401","21.1181463811182","23.4587150773743","21.960127306293","21.0798929157087","21.4572333328968","22.9829837413631","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6505,"SLC1A1","hsa-mir-204-5p","hsa-mir-1237-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-1237-3p","hsa-mir-204-5p",6505,15.0307756998387,14.8985965486994,17.3388657113151,16.298671500695,15.7261082058517,"15.4033451552156","15.6623753522519","15.7031565322102","16.1013417933637","14.8788607341296","15.8634775524351","15.294758108967","14.9472715995968","11.6832611002404","12.8041753481567","13.4013752787914","15.4066397443282","12.7948373300723","14.4548280844659","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6664,"SOX11","hsa-mir-550a-3p","hsa-mir-550a-5p",0,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19272768'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21943380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22738398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28587313'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-550a-5p","hsa-mir-550a-3p",6664,18.5752005232048,9.54386060258403,17.9599162575788,12.4487055468458,18.6850201335913,"7.16786463897149","15.2256852015723","17.0114180613076","15.5338484197481","11.2806562882009","14.8001161974335","13.8535736831394","13.5974669726848","13.5578312212283","10.2454606111838","13.1953414044351","16.4815680147514","18.2401172525793","13.5828750269737","12.5786461621848","7.82500619727611","11.8733899613558","11.2916747531698","12.9364208110147","6.93690850876138","8.90970579151288","16.4542308785817","15.4481385540391","17.0118930915279","13.2184115681365","12.799488916852","13.461462612932","14.4093633018783","10.1986220702556","8.05498883882852","11.3199184714961","12.5482889853761","8.08081817910422","14.9880954436396","10.9638897065265","13.3208612319666","7.69296846945101","12.0539396620666","5.25085525719485","9.37444420480293","14.8640503364455","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6664,"SOX11","hsa-mir-616-5p","hsa-mir-940",0.0025,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19272768'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21943380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22738398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28587313'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-940","hsa-mir-616-5p",6664,16.1155534835412,12.8369836516322,18.3045076486671,18.6850201335913,11.8781945173558,"12.8818761591638","10.6210444673246","8.3726506081244","6.88663456607151","9.29228142021213","10.2454606111838","13.1953414044351","15.7603092497766","7.21225316356011","8.68240101100397","19.5965246417354","17.6642733384745","13.5828750269737","7.82500619727611","11.8733899613558","11.7337759362551","13.7766735171793","12.799488916852","16.5594821113881","14.4093633018783","13.8506823076831","11.3199184714961","14.8640503364455","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6867,"TACC1","hsa-mir-106a-5p","hsa-mir-378a-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-378a-5p","hsa-mir-106a-5p",6867,18.1323410225571,16.1244251884306,17.4996201250007,14.9910245148456,17.3499934692593,"16.8287690877647","18.4769617444155","15.5472111151691","18.0085237724018","18.057097501375","17.8011682003399","17.730599370812","17.5497026688503","18.3121925661479","15.9958865562731","17.1250973711461","16.1525372849084","17.9396184149705","17.1976732201799","15.5932187769346","15.6363110539394","18.9463677848803","15.0816861161225","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
