"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
10525,"HYOU1","hsa-mir-760","hsa-mir-940",0.0675,0.0185,0.0015,FALSE,"NA","mirtarbase tarbase "," tarbase "
10618,"TGOLN2","hsa-mir-193b-5p","hsa-mir-301b-3p",0.199,0.602,5e-04,FALSE,"NA"," tarbase "," tarbase "
10628,"TXNIP","hsa-mir-1305","hsa-mir-935",0.3365,0.0105,0.0045,FALSE,"NA"," tarbase "," tarbase "
10628,"TXNIP","hsa-mir-134-5p","hsa-mir-135b-5p",0.0505,0.026,0.004,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
10628,"TXNIP","hsa-mir-345-5p","hsa-mir-18b-5p",0.3895,0.0275,0,FALSE,"NA"," tarbase ","mirtarbase  "
10628,"TXNIP","hsa-mir-935","hsa-mir-18b-5p",0.011,0.0195,0.001,FALSE,"NA"," tarbase ","mirtarbase  "
10642,"IGF2BP1","hsa-mir-224-5p","hsa-mir-615-3p",0.1565,0.167,0.0055,FALSE,"NA"," tarbase ","mirtarbase  "
10725,"NFAT5","hsa-mir-519c-3p","hsa-mir-183-5p",0.027,0.011,0.0085,TRUE,"NA","mirtarbase  "," tarbase "
10797,"MTHFD2","hsa-mir-136-5p","hsa-mir-1224-5p",0.018,0.0185,0,FALSE,"NA"," tarbase "," tarbase "
10955,"SERINC3","hsa-mir-500b-5p","hsa-mir-216a-5p",0.011,0.207,0.007,FALSE,"NA"," tarbase "," tarbase "
11057,"ABHD2","hsa-mir-195-5p","hsa-mir-629-3p",0.041,0.028,0.0035,FALSE,"NA","mirtarbase  ","mirtarbase  "
11067,"DEPP1","hsa-mir-449a","hsa-mir-141-5p",0.342,0.0175,5e-04,FALSE,"NA"," tarbase ","mirtarbase  "
11078,"TRIOBP","hsa-mir-296-3p","hsa-mir-302b-3p",0.091,0.011,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
11078,"TRIOBP","hsa-mir-296-3p","hsa-mir-302d-3p",0.098,0.0115,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
11078,"TRIOBP","hsa-mir-302c-3p","hsa-mir-296-3p",0.0335,0.05,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
22806,"IKZF3","hsa-mir-665","hsa-mir-149-3p",0.1005,0.019,0.0055,TRUE,"NA","mirtarbase  ","mirtarbase  "
22824,"HSPA4L","hsa-mir-1185-5p","hsa-mir-450b-5p",0.415,0.044,0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389747'>PubMedLink</a>","mirtarbase  "," tarbase "
22824,"HSPA4L","hsa-mir-889-3p","hsa-mir-302c-3p",0.417,0.1045,0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389747'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
22903,"BTBD3","hsa-mir-31-5p","hsa-mir-548d-3p",0.019,0.1465,0.007,FALSE,"NA"," tarbase ","mirtarbase  "
23008,"KLHDC10","hsa-mir-18b-5p","hsa-mir-31-5p",0.014,0.0145,0.0095,FALSE,"NA"," tarbase ","mirtarbase  "
23049,"SMG1","hsa-mir-1271-5p","hsa-mir-141-3p",0.1315,0.011,0,FALSE,"NA"," tarbase "," tarbase "
23049,"SMG1","hsa-mir-548j-5p","hsa-mir-130b-3p",0.7915,0.2695,0.001,FALSE,"NA","mirtarbase  "," tarbase "
23049,"SMG1","hsa-mir-548j-5p","hsa-mir-744-3p",0.737,0.017,0.0045,FALSE,"NA","mirtarbase  "," tarbase "
23085,"ERC1","hsa-mir-370-3p","hsa-mir-29a-3p",0.136,0.0135,0.008,FALSE,"NA"," tarbase "," tarbase "
23089,"PEG10","hsa-mir-1323","hsa-mir-182-5p",0.0235,0.0325,0,FALSE,"NA","mirtarbase  "," tarbase "
23089,"PEG10","hsa-mir-1323","hsa-mir-548j-5p",0.033,0.3165,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
23089,"PEG10","hsa-mir-1323","hsa-mir-942-5p",0.0255,0.032,0,FALSE,"NA","mirtarbase  "," tarbase "
23089,"PEG10","hsa-mir-182-5p","hsa-mir-516b-5p",0.026,0.0645,0,FALSE,"NA"," tarbase "," tarbase "
23089,"PEG10","hsa-mir-34c-3p","hsa-mir-516b-5p",0.021,0.068,0.002,FALSE,"NA"," tarbase "," tarbase "
23089,"PEG10","hsa-mir-378a-3p","hsa-mir-1323",0.116,0.032,0.003,FALSE,"NA"," tarbase ","mirtarbase  "
23089,"PEG10","hsa-mir-378a-3p","hsa-mir-182-5p",0.088,0.0195,0.004,FALSE,"NA"," tarbase "," tarbase "
23089,"PEG10","hsa-mir-378a-3p","hsa-mir-548o-3p",0.0905,0.081,0.009,FALSE,"NA"," tarbase ","mirtarbase  "
23089,"PEG10","hsa-mir-942-5p","hsa-mir-516b-5p",0.0365,0.0865,0.0045,FALSE,"NA"," tarbase "," tarbase "
23095,"KIF1B","hsa-mir-511-5p","hsa-mir-483-3p",0.5285,0.0815,0.0025,FALSE,"NA","mirtarbase  "," tarbase "
23175,"LPIN1","hsa-mir-3065-3p","hsa-mir-129-5p",0.174,0.019,0.0085,FALSE,"NA"," tarbase ","mirtarbase  "
23314,"SATB2","hsa-mir-31-5p","hsa-mir-3609",0.011,0.071,0.0075,TRUE,"NA","mirtarbase  ","mirtarbase  "
23336,"SYNM","hsa-mir-33b-3p","hsa-mir-34c-3p",0.1395,0.2775,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
23336,"SYNM","hsa-mir-33b-3p","hsa-mir-3662",0.126,0.0165,0.0045,FALSE,"NA","mirtarbase  ","mirtarbase  "
23336,"SYNM","hsa-mir-96-5p","hsa-mir-33b-3p",0.0115,0.119,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
23336,"SYNM","hsa-mir-96-5p","hsa-mir-3662",0.0115,0.011,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
23352,"UBR4","hsa-mir-224-5p","hsa-mir-497-5p",0.498,0.0615,0.0025,FALSE,"NA"," tarbase "," tarbase "
23405,"DICER1","hsa-mir-18b-5p","hsa-mir-7-1-3p",0.078,0.055,0,FALSE,"NA"," tarbase "," tarbase "
23405,"DICER1","hsa-mir-29b-3p","hsa-mir-215-5p",0.0725,0.228,0.0035,FALSE,"NA"," tarbase ","mirtarbase tarbase "
23555,"TSPAN15","hsa-mir-548b-3p","hsa-mir-18b-3p",0.033,0.223,0.0025,FALSE,"NA"," tarbase "," tarbase "
23607,"CD2AP","hsa-mir-301a-3p","hsa-mir-92b-3p",0.2915,0.189,0.002,FALSE,"NA"," tarbase ","mirtarbase tarbase "
23607,"CD2AP","hsa-mir-92b-3p","hsa-mir-301b-3p",0.2225,0.601,5e-04,FALSE,"NA","mirtarbase tarbase "," tarbase "
23633,"KPNA6","hsa-mir-150-5p","hsa-mir-452-3p",0.042,0.1375,0.0035,FALSE,"NA","mirtarbase  "," tarbase "
25777,"SUN2","hsa-mir-3660","hsa-mir-130b-3p",0.0405,0.062,0.0075,FALSE,"NA","mirtarbase  ","mirtarbase  "
25834,"MGAT4C","hsa-mir-410-3p","hsa-mir-381-3p",0.036,0.1445,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
25890,"ABI3BP","hsa-mir-376b-3p","hsa-mir-376a-3p",0.021,0.0215,0.001,FALSE,"NA"," tarbase "," tarbase "
25932,"CLIC4","hsa-mir-122-5p","hsa-mir-9-5p",0.175,0.123,0.007,FALSE,"NA","mirtarbase tarbase "," tarbase "
26020,"LRP10","hsa-mir-29b-3p","hsa-mir-548b-3p",0.138,0.013,0.005,FALSE,"NA","mirtarbase  ","mirtarbase  "
26585,"GREM1","hsa-mir-124-3p","hsa-mir-7-5p",0.357,0.0845,5e-04,FALSE,"NA","mirtarbase tarbase "," tarbase "
26585,"GREM1","hsa-mir-299-3p","hsa-mir-7-5p",0.031,0.1145,0.0025,FALSE,"NA"," tarbase "," tarbase "
26585,"GREM1","hsa-mir-33b-3p","hsa-mir-7-5p",0.0265,0.102,0.004,FALSE,"NA"," tarbase "," tarbase "
26585,"GREM1","hsa-mir-665","hsa-mir-299-3p",0.4285,0.035,0.004,FALSE,"NA"," tarbase "," tarbase "
26973,"CHORDC1","hsa-mir-199a-3p","hsa-mir-338-3p",0.0415,0.0845,0,FALSE,"NA"," tarbase "," tarbase "
26973,"CHORDC1","hsa-mir-199b-3p","hsa-mir-338-3p",0.0505,0.1375,0,FALSE,"NA"," tarbase "," tarbase "
28962,"OSTM1","hsa-mir-129-5p","hsa-mir-194-5p",0.364,0.011,0,FALSE,"NA","mirtarbase  "," tarbase "
29841,"GRHL1","hsa-mir-99a-5p","hsa-mir-192-5p",0.02,0.619,0.0025,TRUE,"NA","mirtarbase tarbase ","mirtarbase tarbase "
29956,"CERS2","hsa-mir-320d","hsa-mir-96-5p",0.229,0.0355,0,FALSE,"NA"," tarbase "," tarbase "
30061,"SLC40A1","hsa-mir-20b-5p","hsa-mir-92b-3p",0.027,0.043,0,FALSE,"NA"," tarbase "," tarbase "
51232,"CRIM1","hsa-mir-302d-5p","hsa-mir-18b-5p",0.011,0.099,0.004,FALSE,"NA"," tarbase ","mirtarbase tarbase "
51301,"GCNT4","hsa-mir-106a-5p","hsa-mir-372-3p",0.013,0.311,0.007,FALSE,"NA"," tarbase "," tarbase "
51301,"GCNT4","hsa-mir-20b-5p","hsa-mir-372-3p",0.0235,0.283,5e-04,FALSE,"NA"," tarbase "," tarbase "
51427,"ZNF107","hsa-mir-106a-5p","hsa-mir-181d-5p",0.044,0.025,0.009,TRUE,"NA","mirtarbase tarbase ","mirtarbase tarbase "
51557,"LGSN","hsa-mir-526b-3p","hsa-mir-378a-3p",0.201,0.0105,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
51776,"MAP3K20","hsa-mir-92b-3p","hsa-mir-106a-5p",0.1225,0.3945,0.0025,FALSE,"NA"," tarbase "," tarbase "
51804,"SIX4","hsa-mir-548j-5p","hsa-mir-301b-3p",0.0165,0.104,0,TRUE,"NA","mirtarbase  "," tarbase "
54521,"WDR44","hsa-mir-335-3p","hsa-mir-192-5p",0.0525,0.129,0,FALSE,"NA"," tarbase ","mirtarbase tarbase "
54742,"LY6K","hsa-let-7c-5p","hsa-let-7e-5p",0.2225,0.057,0.007,FALSE,"NA"," tarbase "," tarbase "
54742,"LY6K","hsa-let-7c-5p","hsa-mir-219a-1-3p",0.2005,0.0415,0,FALSE,"NA"," tarbase "," tarbase "
54813,"KLHL28","hsa-mir-302c-3p","hsa-mir-29b-3p",0.102,0.028,0.007,FALSE,"NA","mirtarbase tarbase "," tarbase "
54941,"RNF125","hsa-mir-20b-5p","hsa-mir-766-3p",0.013,0.018,0.009,FALSE,"NA"," tarbase ","mirtarbase  "
55033,"FKBP14","hsa-mir-20b-5p","hsa-mir-373-3p",0.254,0.0545,0.001,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
55033,"FKBP14","hsa-mir-302c-3p","hsa-mir-372-3p",0.0125,0.0835,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-302d-3p","hsa-mir-142-3p",0.0105,0.251,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-302d-3p","hsa-mir-372-3p",0.0105,0.1715,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-302d-3p","hsa-mir-373-3p",0.014,0.0575,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-302d-3p","hsa-mir-629-3p",0.0105,0.381,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-373-3p","hsa-mir-106a-5p",0.076,0.1015,0.001,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
55033,"FKBP14","hsa-mir-373-3p","hsa-mir-302a-3p",0.0445,0.011,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-512-3p","hsa-mir-302c-3p",0.4155,0.0135,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-520d-3p","hsa-mir-302c-3p",0.3605,0.012,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
55033,"FKBP14","hsa-mir-629-3p","hsa-mir-302a-3p",0.324,0.012,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
55147,"RBM23","hsa-mir-301b-3p","hsa-mir-371a-5p",0.0535,0.837,0.005,FALSE,"NA","mirtarbase  ","mirtarbase  "
55147,"RBM23","hsa-mir-301b-3p","hsa-mir-373-5p",0.0485,0.062,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
55183,"RIF1","hsa-mir-106a-5p","hsa-mir-181d-5p",0.0495,0.118,0,FALSE,"NA"," tarbase "," tarbase "
55183,"RIF1","hsa-mir-181d-5p","hsa-mir-149-3p",0.1185,0.2205,0.0015,FALSE,"NA"," tarbase ","mirtarbase  "
55603,"TENT5A","hsa-mir-486-5p","hsa-mir-92b-3p",0.263,0.0215,0.007,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
55636,"CHD7","hsa-mir-378c","hsa-mir-411-3p",0.2265,0.0115,0.001,FALSE,"NA"," tarbase "," tarbase "
55636,"CHD7","hsa-mir-378c","hsa-mir-671-3p",0.217,0.0105,0.0095,FALSE,"NA"," tarbase "," tarbase "
55667,"DENND4C","hsa-mir-142-5p","hsa-mir-320d",0.202,0.3485,0.0075,FALSE,"NA"," tarbase "," tarbase "
55729,"ATF7IP","hsa-mir-497-3p","hsa-mir-200b-3p",0.0905,0.133,0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/23640991'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23666240'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28604728'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28604732'>PubMedLink</a>"," tarbase "," tarbase "
55870,"ASH1L","hsa-mir-302c-3p","hsa-mir-18a-3p",0.0305,0.015,0.008,TRUE,"NA"," tarbase "," tarbase "
55870,"ASH1L","hsa-mir-302c-3p","hsa-mir-195-5p",0.045,0.0305,0.0015,TRUE,"NA"," tarbase ","mirtarbase tarbase "
55870,"ASH1L","hsa-mir-302d-3p","hsa-mir-18a-3p",0.02,0.0135,5e-04,TRUE,"NA"," tarbase "," tarbase "
55870,"ASH1L","hsa-mir-34b-5p","hsa-mir-302b-3p",0.019,0.014,0.005,TRUE,"NA"," tarbase "," tarbase "
55870,"ASH1L","hsa-mir-497-5p","hsa-mir-302a-3p",0.0445,0.0105,0.0015,TRUE,"NA","mirtarbase tarbase "," tarbase "
55870,"ASH1L","hsa-mir-497-5p","hsa-mir-302c-3p",0.048,0.071,0.0015,TRUE,"NA","mirtarbase tarbase "," tarbase "
55870,"ASH1L","hsa-mir-497-5p","hsa-mir-302d-3p",0.049,0.018,0.001,TRUE,"NA","mirtarbase tarbase "," tarbase "
55870,"ASH1L","hsa-mir-548f-3p","hsa-mir-33a-3p",0.028,0.788,0.007,TRUE,"NA"," tarbase "," tarbase "
56853,"CELF4","hsa-mir-378c","hsa-mir-378a-3p",0.0225,0.0805,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
56924,"PAK6","hsa-mir-3609","hsa-mir-519d-3p",0.2965,0.578,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
57035,"RSRP1","hsa-mir-3662","hsa-mir-122-5p",0.039,0.14,0.005,FALSE,"NA"," tarbase "," tarbase "
57169,"ZNFX1","hsa-mir-182-5p","hsa-mir-541-3p",0.0255,0.0545,0.001,FALSE,"NA"," tarbase "," tarbase "
57181,"SLC39A10","hsa-mir-1226-3p","hsa-mir-582-5p",0.014,0.0505,0.001,FALSE,"NA"," tarbase ","mirtarbase  "
57587,"CFAP97","hsa-mir-200c-3p","hsa-mir-33a-3p",0.0315,0.249,0.0095,FALSE,"NA"," tarbase "," tarbase "
57670,"KIAA1549","hsa-mir-520a-5p","hsa-mir-301b-3p",0.037,0.584,0.002,FALSE,"NA","mirtarbase  "," tarbase "
57674,"RNF213","hsa-mir-3065-3p","hsa-mir-424-5p",0.0105,0.1435,0,FALSE,"NA"," tarbase "," tarbase "
57674,"RNF213","hsa-mir-582-5p","hsa-mir-3065-3p",0.0315,0.016,0.0035,FALSE,"NA","mirtarbase  "," tarbase "
57695,"USP37","hsa-mir-577","hsa-mir-455-3p",0.229,0.027,0.0065,FALSE,"NA"," tarbase ","mirtarbase  "
57761,"TRIB3","hsa-mir-335-5p","hsa-mir-493-3p",0.0135,0.011,0.001,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
58528,"RRAGD","hsa-mir-34c-5p","hsa-mir-124-3p",0.055,0.0325,0.0035,FALSE,"NA","mirtarbase  "," tarbase "
60468,"BACH2","hsa-mir-7-1-3p","hsa-mir-29c-3p",0.012,0.0165,0,TRUE,"NA"," tarbase ","mirtarbase  "
64324,"NSD1","hsa-mir-106a-5p","hsa-mir-181d-5p",0.1755,0.2485,0.001,FALSE,"NA"," tarbase "," tarbase "
64778,"FNDC3B","hsa-mir-155-5p","hsa-mir-211-5p",0.03,0.027,0.0065,FALSE,"NA","mirtarbase tarbase "," tarbase "
64866,"CDCP1","hsa-mir-181d-5p","hsa-mir-138-5p",0.0605,0.087,0.0095,FALSE,"NA"," tarbase "," tarbase "
64866,"CDCP1","hsa-mir-194-3p","hsa-mir-377-5p",0.0345,0.3015,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
64866,"CDCP1","hsa-mir-194-3p","hsa-mir-485-5p",0.0335,0.3845,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
64866,"CDCP1","hsa-mir-665","hsa-mir-224-5p",0.659,0.9735,0.0025,FALSE,"NA","mirtarbase tarbase "," tarbase "
64919,"BCL11B","hsa-mir-942-5p","hsa-mir-216a-5p",0.2095,0.03,5e-04,TRUE,"NA"," tarbase "," tarbase "
64981,"MRPL34","hsa-mir-196a-5p","hsa-mir-92b-5p",0.0225,0.7965,0.003,FALSE,"NA"," tarbase ","mirtarbase  "
65059,"RAPH1","hsa-mir-129-5p","hsa-mir-204-5p",0.4725,0.019,0.0065,FALSE,"NA"," tarbase "," tarbase "
65059,"RAPH1","hsa-mir-506-3p","hsa-mir-204-5p",0.0865,0.026,0.0045,FALSE,"NA"," tarbase "," tarbase "
65059,"RAPH1","hsa-mir-509-3-5p","hsa-mir-204-5p",0.22,0.018,5e-04,FALSE,"NA"," tarbase "," tarbase "
79026,"AHNAK","hsa-mir-127-5p","hsa-mir-205-5p",0.2795,0.0455,0.0065,FALSE,"NA"," tarbase "," tarbase "
79026,"AHNAK","hsa-mir-205-5p","hsa-mir-1305",0.0465,0.7015,0.003,FALSE,"NA"," tarbase "," tarbase "
79026,"AHNAK","hsa-mir-487a-3p","hsa-mir-205-5p",0.016,0.0345,5e-04,FALSE,"NA"," tarbase "," tarbase "
79094,"CHAC1","hsa-mir-539-5p","hsa-mir-940",0.044,0.0945,0.001,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
79834,"PEAK1","hsa-mir-20b-5p","hsa-mir-92b-3p",0.1665,0.468,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
79944,"L2HGDH","hsa-mir-155-5p","hsa-mir-497-5p",0.2275,0.1485,0.001,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
80045,"GPR157","hsa-mir-519d-3p","hsa-mir-642a-5p",0.1425,0.163,0.006,FALSE,"NA","mirtarbase  "," tarbase "
80045,"GPR157","hsa-mir-520h","hsa-mir-642a-5p",0.1655,0.15,0.0025,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29a-3p","hsa-mir-195-5p",0.0275,0.0235,0,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29a-3p","hsa-mir-502-5p",0.019,0.2015,0.0025,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29b-3p","hsa-mir-195-5p",0.043,0.032,0.004,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29b-3p","hsa-mir-518c-5p",0.042,0.428,5e-04,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29b-3p","hsa-mir-519d-3p",0.041,0.6055,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-29b-3p","hsa-mir-520a-3p",0.0425,0.6515,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-29b-3p","hsa-mir-526b-3p",0.044,0.744,0.006,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-29c-3p","hsa-mir-195-5p",0.012,0.019,0,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29c-3p","hsa-mir-518c-5p",0.0175,0.356,0.002,FALSE,"NA","mirtarbase  "," tarbase "
80223,"RAB11FIP1","hsa-mir-29c-3p","hsa-mir-519d-3p",0.0115,0.598,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-29c-3p","hsa-mir-526b-3p",0.0155,0.709,0.0035,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-520c-3p","hsa-mir-29b-3p",0.6365,0.048,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
80223,"RAB11FIP1","hsa-mir-520c-3p","hsa-mir-29c-3p",0.6675,0.0125,0.006,FALSE,"NA","mirtarbase  ","mirtarbase  "
80228,"ORAI2","hsa-mir-3922-3p","hsa-mir-302a-3p",0.1005,0.023,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
80228,"ORAI2","hsa-mir-3922-3p","hsa-mir-302c-3p",0.0975,0.0225,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
80228,"ORAI2","hsa-mir-3922-3p","hsa-mir-302d-3p",0.101,0.0385,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
80228,"ORAI2","hsa-mir-3922-3p","hsa-mir-367-3p",0.0955,0.04,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
80315,"CPEB4","hsa-mir-335-3p","hsa-mir-429",0.202,0.2895,0.005,FALSE,"NA"," tarbase "," tarbase "
80856,"LNPK","hsa-mir-34c-5p","hsa-mir-548e-3p",0.067,0.0395,0.0045,FALSE,"NA","mirtarbase  ","mirtarbase  "
81848,"SPRY4","hsa-mir-342-5p","hsa-mir-129-2-3p",0.0545,0.5345,0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/23640991'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29410498'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30027931'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31235829'>PubMedLink</a>","mirtarbase  "," tarbase "
84128,"WDR75","hsa-mir-129-5p","hsa-mir-149-3p",0.047,0.349,0.004,FALSE,"NA"," tarbase ","mirtarbase  "
84144,"SYDE2","hsa-mir-367-3p","hsa-mir-182-5p",0.022,0.0385,0.0085,FALSE,"NA"," tarbase ","mirtarbase  "
84144,"SYDE2","hsa-mir-367-3p","hsa-mir-183-3p",0.0245,0.0665,0.0025,FALSE,"NA"," tarbase "," tarbase "
84247,"RTL6","hsa-mir-497-5p","hsa-mir-302a-3p",0.012,0.018,0.009,FALSE,"NA"," tarbase "," tarbase "
84247,"RTL6","hsa-mir-497-5p","hsa-mir-302d-3p",0.0115,0.019,0.0075,FALSE,"NA"," tarbase "," tarbase "
84248,"FYTTD1","hsa-mir-381-3p","hsa-mir-411-3p",0.565,0.037,0,FALSE,"NA"," tarbase ","mirtarbase  "
84248,"FYTTD1","hsa-mir-381-3p","hsa-mir-654-3p",0.5635,0.0165,0,FALSE,"NA"," tarbase "," tarbase "
84272,"YIPF4","hsa-mir-744-3p","hsa-mir-92b-3p",0.0635,0.0805,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
84272,"YIPF4","hsa-mir-92b-3p","hsa-mir-3065-5p",0.066,0.1145,0.0045,FALSE,"NA","mirtarbase  "," tarbase "
84272,"YIPF4","hsa-mir-92b-3p","hsa-mir-541-3p",0.077,0.147,0.0065,FALSE,"NA","mirtarbase  ","mirtarbase  "
84293,"PRXL2A","hsa-mir-20b-5p","hsa-mir-372-3p",0.011,0.0375,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
84333,"PCGF5","hsa-mir-1305","hsa-mir-183-5p",0.1295,0.021,0.0015,FALSE,"NA"," tarbase "," tarbase "
84333,"PCGF5","hsa-mir-183-5p","hsa-mir-500a-5p",0.0435,0.125,0.0065,FALSE,"NA"," tarbase "," tarbase "
84823,"LMNB2","hsa-mir-378c","hsa-mir-188-3p",0.018,0.05,0.0055,FALSE,"NA","mirtarbase  ","mirtarbase  "
90627,"STARD13","hsa-mir-1270","hsa-mir-376b-3p",0.095,0.032,0.0035,FALSE,"NA"," tarbase "," tarbase "
92255,"LMBRD2","hsa-mir-142-3p","hsa-mir-519e-3p",0.1295,0.231,0.0095,FALSE,"NA"," tarbase ","mirtarbase  "
112939,"NACC1","hsa-mir-452-3p","hsa-mir-491-5p",0.132,0.0275,0.0045,FALSE,"NA"," tarbase ","mirtarbase tarbase "
114908,"TMEM123","hsa-mir-204-5p","hsa-mir-653-5p",0.113,0.013,0.008,FALSE,"NA"," tarbase "," tarbase "
114987,"WDR31","hsa-mir-183-5p","hsa-mir-301b-3p",0.0105,0.1095,0.005,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-302c-3p","hsa-mir-296-5p",0.023,0.07,0.0025,FALSE,"NA","mirtarbase  "," tarbase "
116236,"ABHD15","hsa-mir-302d-3p","hsa-mir-485-5p",0.0325,0.08,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-485-5p","hsa-mir-302a-3p",0.0715,0.0145,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-512-3p","hsa-mir-20b-5p",0.0145,0.2935,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-520d-3p","hsa-mir-106a-5p",0.018,0.3585,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-520d-3p","hsa-mir-20b-5p",0.0195,0.306,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-526b-3p","hsa-mir-106a-5p",0.0395,0.302,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
116236,"ABHD15","hsa-mir-526b-3p","hsa-mir-20b-5p",0.0385,0.277,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
116984,"ARAP2","hsa-let-7f-2-3p","hsa-mir-942-5p",0.027,0.012,0.003,FALSE,"NA","mirtarbase  "," tarbase "
120114,"FAT3","hsa-mir-1270","hsa-mir-296-3p",0.0105,0.082,0.0035,FALSE,"NA","mirtarbase  ","mirtarbase  "
124540,"MSI2","hsa-mir-34b-5p","hsa-mir-150-3p",0.122,0.026,0.009,FALSE,"NA"," tarbase "," tarbase "
132720,"FAM241A","hsa-mir-106a-5p","hsa-mir-520c-3p",0.1645,0.021,0.007,FALSE,"NA","mirtarbase  ","mirtarbase  "
